jid,formula,max_voltage,voltages
JVASP-94257,CaZn3,-3.3758022500701905,[-3.6636604978271485, -3.6530284597106935, -3.3758022500701905, -3.8535825921722413, -3.5937468721099854, -3.5263130380340577]
JVASP-75014,BeZnPd,-3.6954658939071656,[-3.6954658939071656]
JVASP-94789,CaZn,-3.7957291318603517,[-3.7957291318603517, -4.207663507623291, -4.584639282388306, -4.636534423989868]
JVASP-72013,BeZnCr2,-2.9675268842407228,[-2.9675268842407228]
JVASP-3153,LiZnPS4,-1.8930015279479981,[-1.8930015279479981]
JVASP-42887,LiZnAg2,-3.056319446725464,[-3.056319446725464]
JVASP-71810,BeZnIr2,-3.269726247949219,[-3.269726247949219]
JVASP-94389,Mg2Zn,-3.459881754083252,[-3.8334741307922364, -3.459881754083252]
JVASP-92290,SrZn2P2,-2.0242330743499757,[-2.2671036435791017, -2.0242330743499757]
JVASP-74737,MnBe2Zn,-3.329139204187012,[-3.329139204187012]
JVASP-3366,Ba2MnZn2As2O2,-0.7120890332885743,[-3.810791464013672, -0.7120890332885743]
JVASP-74466,Be2ZnSi,-4.139321775598145,[-4.139321775598145]
JVASP-105994,Sr2ZnSb2,-3.408447952432251,[-3.408447952432251]
JVASP-105995,Sr2ZnBi2,-3.8229769183822633,[-3.8229769183822633]
JVASP-98982,Ba2ZnO3,2.02954271300354,[-1.1738140298553468, 0.3025939749053954, 1.9411275671295165, 2.02954271300354]
JVASP-94834,BaZnBO3F,1.5767998979858397,[1.5767998979858397]
JVASP-94393,Mg2Zn,-3.5692505552001954,[-3.837611646813965, -3.5692505552001954]
JVASP-94394,Mg5Zn,-3.7168452455230714,[-3.7168452455230714]
JVASP-91440,SrZnSe2O6,0.030266313391113187,[-0.9269323064514161, -0.3527879430480958, -0.6336836530395509, 0.030266313391113187]
JVASP-106161,BaZn2N2,-1.324550123376465,[-1.6083440496154786, -1.324550123376465]
JVASP-105799,LiCeZn2,-2.615091831845856,[-2.834781677884674, -2.615091831845856]
JVASP-92711,BaZn2Si2,-2.239667148751831,[-4.145872564477539, -2.239667148751831]
JVASP-3165,K4ZnP2,-1.9106300784774781,[-1.9106300784774781]
JVASP-94398,Mg5Zn,-3.474879474801636,[-3.474879474801636]
JVASP-94399,Mg2Zn,-3.7258264733978272,[-3.7258264733978272, -4.40251991288147]
JVASP-93751,CaZnPb,-3.6774797155090333,[-3.6774797155090333, -3.916973562402344]
JVASP-99846,Sr2ZnIn,-3.5001958324142457,[-3.5001958324142457]
JVASP-93753,CaZnSn,-3.444625349206543,[-3.444625349206543, -3.5215282155700685]
JVASP-3216,NaZnAs,-1.4820707751937867,[-3.5213068439193727, -1.4820707751937867]
JVASP-99128,Ba2ZnSi2O7,4.22844031317749,[4.22844031317749, -1.0817441655822755]
JVASP-100048,BaZn2N2,-0.20256802575073252,[-1.503620119256592, -0.20256802575073252, -0.8823322965332032, -1.5000137998291017]
JVASP-99613,Sr2Zn3Cd,-3.3735794736572267,[-3.79635855690918, -3.543002100152588, -3.3735794736572267]
JVASP-18895,NaZnAs,-1.9772852374740602,[-1.9772852374740602]
JVASP-52829,K2ZnH4,0.09707024558105459,[-0.6752466870971681, -1.0629882528015138, -0.6542777730651856, 0.09707024558105459]
JVASP-95315,Ba2ZnGe2S6O,-2.0268096639343263,[-2.0268096639343263, -2.187157602471924]
JVASP-100356,RbLiZnS2,-0.37884065644226084,[-0.37884065644226084]
JVASP-96952,Ba2ZnB2O6,5.92839148505249,[-0.3834714605041505, 0.21652319891967764, 3.3978672312072753, 3.6593399332336425, 1.7056980417541503, 5.92839148505249, 3.4486680315307616, 1.5713410661987304]
JVASP-102203,KZnCuTe2,-3.2232451154418946,[-3.2232451154418946]
JVASP-100730,LiNdZn2,-2.6456821872421266,[-2.6456821872421266, -2.9027477218338014]
JVASP-103512,Ca2ZnGa3,-3.6994141055770875,[-3.6994141055770875]
